ORG_CODE,ORG_ID,ORG_CODE_ID,BUILDING_CODE,BUILD_NAME_1,BUILD_NAME_2,OWNER_CODE,OWNER_ID,OWNERSHIP_TYPE,CONSTRUCTED_DATE,CONSTRUCTION_TYPE,RENOVATE_DATE,ZONING,CONDITION,POWER,AIR_CONDITION,TOTAL_SQ_FT,USABLE_SQ_FT,SURROUND_SQ_FT,NUMBER_FLOORS,SMOKE_NONSMOKE,HANDICAP_PARKING,RAMP_ACCESS,HANDICAP_RESTROOMS,CREATE_DATE,CREATE_TIME,CREATE_OPID,CREATE_TERMINAL,REVISION_DATE,REVISION_TIME,REVISION_OPID,REVISION_TERMINAL,ABT_JOIN,BuildingId
O,000000001,O000000001,ANH,Naidorf Hall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2008-06-12 00:00:00.000,1900-01-01 15:50:46.343,LAUH,0001,2008-06-12 00:00:00.000,1900-01-01 15:50:46.343,LAUH,0001,*,1
O,000000001,O000000001,ARCH,Architecture Complex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2003-09-04 00:00:00.000,1900-01-01 09:27:33.797,ANGELESC,0001,2003-09-04 00:00:00.000,1900-01-01 09:27:33.797,ANGELESC,0001,*,2
O,000000001,O000000001,ASB,Architecture Studio Building,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2008-06-12 00:00:00.000,1900-01-01 15:49:57.437,LAUH,0001,2008-06-12 00:00:00.000,1900-01-01 15:49:57.437,LAUH,0001,*,3
O,000000001,O000000001,ASG,ASG House,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2003-09-04 00:00:00.000,1900-01-01 09:27:56.020,ANGELESC,0001,2003-09-04 00:00:00.000,1900-01-01 09:27:56.020,ANGELESC,0001,*,4
O,000000001,O000000001,CABRIN,Cabrini Hall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2003-09-04 00:00:00.000,1900-01-01 09:28:07.797,ANGELESC,0001,2003-09-04 00:00:00.000,1900-01-01 09:28:07.797,ANGELESC,0001,*,5
O,000000001,O000000001,CENTS,Central Services,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2003-09-04 00:00:00.000,1900-01-01 09:28:37.830,ANGELESC,0001,2003-09-04 00:00:00.000,1900-01-01 09:28:37.830,ANGELESC,0001,*,6
O,000000001,O000000001,CLL,Center for Lifelong Learning,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2003-09-04 00:00:00.000,1900-01-01 09:28:24.360,ANGELESC,0001,2003-09-04 00:00:00.000,1900-01-01 09:28:24.360,ANGELESC,0001,*,7
O,000000001,O000000001,DESIGN,Design Center,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2003-09-04 00:00:00.000,1900-01-01 09:29:03.677,ANGELESC,0001,2003-09-04 00:00:00.000,1900-01-01 09:29:03.677,ANGELESC,0001,*,8
O,000000001,O000000001,DWP,Dept Water Power,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2003-09-04 00:00:00.000,1900-01-01 09:28:52.740,ANGELESC,0001,2003-09-04 00:00:00.000,1900-01-01 09:28:52.740,ANGELESC,0001,*,9
O,000000001,O000000001,ENKEBO,Enkeboll Courtyard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,N,N,2008-03-10 00:00:00.000,1900-01-01 12:34:14.227,ARTENIAA,0001,2008-03-10 00:00:00.000,1900-01-01 12:34:14.227,ARTENIAA,0001,*,10
