OLD BLDG CODE,NEW BUILDING,OLD_ROOM_ID,NEW ROOM
ARCH,AB,A104,AB100
ARCH,AB,A105,AB100
ARCH,AB,A104,AB101
ARCH,AB,A105,AB101
ARCH,AB,A104,AB102
ARCH,AB,A105,AB102
ARCH,AB,A104,AB103
ARCH,AB,A106,AB106
ARCH,AB,A106,AB107
ARCH,AB,A106,AB106
ARCH,AB,A106,AB107
ARCH,AL,A103,AL101
ARCH,AL,111,AL102
ARCH,AL,A111,AL102
ARCH,JS,SPACE,JS100
ARCH,JS,101,JS103
ARCH,JS,101,JS104
ARCH,JS,101,JS105
ARCH,JS,A102,JS107
ARCH,JS,A102,JS108
ARCH,JS,201,JS203
ARCH,NB,A101,NB100
ARCH,NB,A102,NB101
ARCH,NB,A102,NB102
ARCH,NB,A102,NB103
ARCH,NB,A102,NB104
ARCH,SP,A107,SP102
ASB,AL,A103,AL101
ASB,JS,LGC,JS102
ASB,JS,SPACE,JS100
ASB,JS,UGC,JS100
ASB,JS,101,JS101
ASB,JS,LG,JS102
ASB,JS,101,JS103
ASB,JS,101,JS104
ASB,JS,101,JS105
ASB,JS,101,JS106
ASB,JS,101,JS107
ASB,JS,101,JS108
ASB,JS,201,JS203
ASB,JS,202,JS203
ASB,JS,201,JS204
ASB,JS,201,JS205
ASB,JS,201,JS206
ASB,JS,201,JS207
ASB,JS,201,JS208
ASB,JS,201,JS209
ASB,JS,201,JS210
CABRIN,CH,101,CH101
CABRIN,CH,103,CH103
CABRIN,CH,104,CH104
CABRIN,CH,105,CH105
CABRIN,CH,200,CH200
CABRIN,CH,203,CH203
CABRIN,CH,204,CH204
CABRIN,CH,205,CH205
CABRIN,CH,207,CH207
DESIGN,DC,D101,DC101
DESIGN,DC,D102,DC102
DESIGN,DC,D103,DC103
DESIGN,DC,D104,DC104
DESIGN,DC,D105,DC105
DESIGN,DC,D108,DC108
DESIGN,DC,D1,DC115
DESIGN,DC,D2,DC116
DESIGN,DC,D4,DC118
DESIGN,DC,D201,DC201
DESIGN,DC,D202,DC202
DESIGN,DC,D205,DC205
DESIGN,DC,D206,DC206
DESIGN,DC,D207,DC207
DESIGN,DC,D208,DC208
DESIGN,DC,D209,DC209
DESIGN,DC,D210,DC210
FACANX,AN,F106,AN109
FACANX,AN,F108,AN109
FACANX,AN,F104,AN110
FACANX,AN,F102,AN111
IFC,FC,101,FC101
IFC,FC,175,FC175
KHEM,EM,E100,EM101
KHEM,EM,E103,EM103
LIBRAR,LA,106,LA106
MILLER,MH,101,MH101
MILLER,MH,111,MH111
MILLER,MH,202,MH202
MILLER,MH,204,MH204
MILLER,MH,205,MH205
MILLER,MH,206,MH206
MILLER,MH,207,MH207
MILLER,MH,209,MH209
NSBUS,BB,AUD,BB101
NSBUS,BB,SB102,BB102
NSBUS,BB,104,BB104
NSBUS,BB,LG,BB104
NSBUS,BB,SB104,BB104
NSBUS,BB,SB201,BB201
NSBUS,BB,SB202,BB202
NSBUS,BB,SB203,BB203
NSBUS,BB,SB204,BB204
NSBUS,BB,UG,BB204
NSBUS,BB,SB205,BB205
NSBUS,BB,SB206,BB206
NSBUS,BB,207,BB207
NSBUS,BB,SB207,BB207
NSBUS,BB,SB208,BB208
NSBUS,BB,SB209,BB209
NSBUS,BB,SB210,BB210
WSC,WH,W130,WH130
