MAPPING_ID,OLD_BUILDING_CODE,OLD_ROOM_ID,NEW_BUILDING_CODE,NEW_ROOM_ID
1,ASB,101,JS,JS101
3,ASB,102,JS,JS102
63,ASB,201,JS,JS201
69,ASB,202,JS,JS202
65,ASB,LG,JS,JSLG
67,ASB,LGC,JS,JSLGC
2,ASB,SPACE,JS,JS100
66,ASB,UG,JS,JSUG
68,ASB,UGC,JS,JSUGC
73,CABRIN,NULL,CH,NULL
11,CABRIN,101,CH,JS101
9,CABRIN,103,CH,JS103
10,CABRIN,104,CH,JS104
8,CABRIN,105,CH,CH105
7,CABRIN,200,CH,CH200
71,CABRIN,201,CH,CH201
70,CABRIN,203,CH,CH203
6,CABRIN,204,CH,CH204
5,CABRIN,205,CH,CH205
4,CABRIN,207,CH,CH207
17,DESIGN,D101,DC,DC101
53,DESIGN,D102,DC,DC102
14,DESIGN,D103,DC,DC103
13,DESIGN,D104,DC,DC104
16,DESIGN,D105,DC,DC105
54,DESIGN,D108,DC,DC108
72,DESIGN,D109,DC,DC109
15,DESIGN,D2,DC,DC002
19,DESIGN,D201,DC,DC201
12,DESIGN,D202,DC,DC202
55,DESIGN,D205,DC,DC205
22,DESIGN,D206,DC,DC206
21,DESIGN,D207,DC,DC207
56,DESIGN,D208,DC,DC208
20,DESIGN,D209,DC,DC209
18,DESIGN,D210,DC,DC210
23,DESIGN,D4,DC,DC004
26,FACANX,F102,AN,AN102
24,FACANX,F104,AN,AN104
62,FACANX,F106,AN,AN106
25,FACANX,F108,AN,AN108
27,IFC,101,FC,FC101
74,IFC,175,FC,FC175
29,KHEM,E100,EM,EM100
28,KHEM,E103,EM,EM103
30,LIBRAR,106,LA,LA106
34,MILLER,101,MH,MH101
60,MILLER,104,MH,MH104
61,MILLER,106,MH,MH106
36,MILLER,111,MH,MH111
57,MILLER,202,MH,MH202
58,MILLER,204,MH,MH204
35,MILLER,205,MH,MH205
31,MILLER,206,MH,MH206
33,MILLER,207,MH,MH207
38,MILLER,209,MH,MH209
42,NSBUS,AUD,BB,BB100
59,NSBUS,SB101,BB,BB101
45,NSBUS,SB102,BB,BB102
47,NSBUS,SB104,BB,BB104
50,NSBUS,SB201,BB,BB201
41,NSBUS,SB202,BB,BB202
46,NSBUS,SB203,BB,BB203
43,NSBUS,SB204,BB,BB204
49,NSBUS,SB205,BB,BB205
44,NSBUS,SB206,BB,BB206
39,NSBUS,SB207,BB,BB207
51,NSBUS,SB208,BB,BB208
40,NSBUS,SB209,BB,BB209
48,NSBUS,SB210,BB,BB210
52,WSC,W130,WH,WH130
